Designator,Mid X,Mid Y,Layer,Rotation
R228,56.059999mm,24.829993mm,Top,270.0
R226,54.859999mm,23.829993mm,Top,270.0
R225,53.659999mm,23.829993mm,Top,270.0
R224,52.459998999999996mm,23.829993mm,Top,270.0
R223,51.259999mm,23.829993mm,Top,270.0
R222,54.859999mm,24.829993mm,Top,90.0
R221,53.659999mm,24.829993mm,Top,90.0
R220,52.459998999999996mm,24.829993mm,Top,90.0
R219,51.259999mm,24.829993mm,Top,90.0
R218,53.059999mm,24.879993000000002mm,Bottom,0.0
R217,50.059999mm,23.829993mm,Top,270.0
R216,48.859999mm,23.829993mm,Top,270.0
R215,47.659999mm,23.829993mm,Top,270.0
R214,46.459998999999996mm,23.829993mm,Top,270.0
R213,50.089999mm,24.829993mm,Top,90.0
R212,48.859999mm,24.829993mm,Top,90.0
R211,47.659999mm,24.829993mm,Top,90.0
R210,46.459998999999996mm,24.829993mm,Top,90.0
R208,45.259999mm,23.829993mm,Top,270.0
R207,44.059999mm,23.829993mm,Top,270.0
R206,42.859999mm,23.829993mm,Top,270.0
R205,41.659999mm,23.829993mm,Top,270.0
R204,45.259999mm,24.829993mm,Top,90.0
R203,44.059999mm,24.829993mm,Top,90.0
R202,42.859999mm,24.829993mm,Top,90.0
R201,41.659999mm,24.829993mm,Top,90.0
R142,51.560099mm,29.229993mm,Bottom,0.0
P106,63.059999mm,37.629993mm,Top,270.0
P105,54.359999mm,37.829993mm,Top,270.0
P104,58.659999mm,37.529993000000005mm,Top,270.0
P201,75.329999mm,23.329993mm,Top,90.0
P200,40.359999mm,22.829993mm,Top,90.0
P103,67.859999mm,37.529993000000005mm,Top,180.0
P102,70.759999mm,37.529993000000005mm,Top,180.0
P101,73.759999mm,37.529993000000005mm,Top,180.0
P100,75.059999mm,38.729993mm,Top,180.0
J100,67.035099mm,50.382993mm,Bottom,0.0
D100,43.285199mm,48.695493mm,Bottom,180.0
D205,78.959999mm,38.479993mm,Top,90.0
D207,72.259999mm,27.629993mm,Top,180.0
D206,67.459999mm,27.629993mm,Top,180.0
D204,62.659999mm,27.629993mm,Top,180.0
D203,57.859999mm,27.629993mm,Top,180.0
D201,48.259999mm,27.629993mm,Top,180.0
D200,43.459998999999996mm,27.629993mm,Top,180.0
